Date,DAPR,TVL
2021-01-05T00:00:00.000Z,0.07%,14.75M
2021-01-06T00:00:00.000Z,0.3%,12.7M
2021-01-07T00:00:00.000Z,0.22%,13.17M
2021-01-08T00:00:00.000Z,0.14%,13.36M
2021-01-09T00:00:00.000Z,0.18%,14.4M
2021-01-10T00:00:00.000Z,0.04%,20.89M
2021-01-11T00:00:00.000Z,0.05%,28.61M
2021-01-12T00:00:00.000Z,0.12%,30.68M
2021-01-13T00:00:00.000Z,1.52%,58.5M
2021-01-14T00:00:00.000Z,57.75%,123.47M
2021-01-15T00:00:00.000Z,46.14%,147.6M
2021-01-16T00:00:00.000Z,40.99%,153.5M
2021-01-17T00:00:00.000Z,39.82%,148.8M
2021-01-18T00:00:00.000Z,39.51%,146.56M
2021-01-19T00:00:00.000Z,43.31%,138.12M
2021-01-20T00:00:00.000Z,37.51%,161.14M
2021-01-21T00:00:00.000Z,31.79%,166.51M
2021-01-22T00:00:00.000Z,29.36%,168.77M
2021-01-23T00:00:00.000Z,31.8%,177.07M
2021-01-24T00:00:00.000Z,39.28%,206.63M
2021-01-25T00:00:00.000Z,45.25%,193.06M
2021-01-26T00:00:00.000Z,50.0%,205.64M
2021-01-27T00:00:00.000Z,34.11%,342.4M
2021-01-28T00:00:00.000Z,27.19%,355.36M
2021-01-29T00:00:00.000Z,26.74%,350.98M
2021-01-30T00:00:00.000Z,27.42%,345.06M
2021-01-31T00:00:00.000Z,33.2%,336.03M
2021-02-01T00:00:00.000Z,45.33%,353.33M
2021-02-02T00:00:00.000Z,50.46%,372.97M
2021-02-03T00:00:00.000Z,35.71%,535.87M
2021-02-04T00:00:00.000Z,33.47%,552.74M
2021-02-05T00:00:00.000Z,32.27%,563.4M
2021-02-06T00:00:00.000Z,31.62%,576.58M
2021-02-07T00:00:00.000Z,28.32%,598.3M
2021-02-08T00:00:00.000Z,27.87%,609.07M
2021-02-09T00:00:00.000Z,27.14%,627.72M
2021-02-10T00:00:00.000Z,36.75%,422.79M
2021-02-11T00:00:00.000Z,36.15%,409.83M
2021-02-12T00:00:00.000Z,37.57%,410.89M
2021-02-13T00:00:00.000Z,38.33%,423.04M
2021-02-14T00:00:00.000Z,38.57%,428M
2021-02-15T00:00:00.000Z,38.32%,429.67M
2021-02-16T00:00:00.000Z,39.68%,427.54M
2021-02-17T00:00:00.000Z,39.49%,400.5M
2021-02-18T00:00:00.000Z,37.58%,429.05M
2021-02-19T00:00:00.000Z,32.9%,444.82M
2021-02-20T00:00:00.000Z,29.53%,438.16M
2021-02-21T00:00:00.000Z,28.77%,433.67M
2021-02-22T00:00:00.000Z,27.6%,429.71M
2021-02-23T00:00:00.000Z,23.74%,424.66M
2021-02-24T00:00:00.000Z,13.37%,653.68M
2021-02-25T00:00:00.000Z,12.91%,641.56M
2021-02-26T00:00:00.000Z,12.44%,630.96M
2021-02-27T00:00:00.000Z,12.77%,608.19M
2021-02-28T00:00:00.000Z,11.93%,607.83M
